Show Name,Status,Last Date,Next Date,Day of Week,Season,EP #,Time
NCIS,Returning Series,11/25/2014,12/16/2014,Tuesday,12,10,8:00 PM
The 100,Returning Series,12/10/2014,12/17/2014,Wednesday,2,8,9:00 PM
The Librarians,New Series,12/14/2014,12/21/2014,Sunday,1,4,8:00 PM
Gotham,New Series,11/24/2014,1/5/2015,Monday,1,11,8:00 PM
The Big Bang Theory,Returning Series,12/11/2014,1/8/2015,Thursday,8,12,8:00 PM
Supernatural,Returning Series,12/9/2014,1/20/2015,Tuesday,10,10,9:00 PM
The Flash,New Series,12/9/2014,1/20/2015,Tuesday,1,10,8:00 PM
Arrow,Returning Series,12/10/2014,1/21/2015,Wednesday,3,10,8:00 PM
Suits,Returning Series,8/20/2014,1/28/2015,Wednesday,4,11,9:00 PM
Once Upon a Time,Returning Series,12/14/2014,3/1/2015,Sunday,4,13,8:00 PM
Marvel's Agents of S.H.I.E.L.D.,Returning Series,12/9/2014,3/3/2015,Tuesday,2,11,9:00 PM
Bones,Returning Series,12/11/2014,3/26/2015,Thursday,10,11,8:00 PM
Game of Thrones,Returning Series,6/15/2014,4/30/2015*,Sunday,5,1,9:00 PM
Haven,Returning Series,12/5/2014,Unknown,Friday,0,0,7:00 PM
Falling Skies,Final Season,8/31/2014,Unknown,Sunday,0,0,10:00 PM
Last Comic Standing,Returning Series,8/14/2014,Unknown,Thursday,0,0,10:00 PM
Hemlock Grove,Returning Series,7/10/2014,Unknown,Friday,0,0,12:00 AM
Continuum,Returning Series,6/22/2014,Unknown,Sunday,0,0,9:00 PM
